player,school,gp,mpg,bpm,class,birthdate,pick
Cooper Craggs,Oakland,33,12.3471,-1.07071,So,2003-10-15,
Jayden Pierre,Providence,32,34.2156,0.255138,Jr,2003-05-07,
Quante Berry,Temple,27,30.0607,0.60694,So,2003-05-05,
Dominic Capriotti,Binghamton,2,3.5250,-16.2208,So,2003-10-15,
Ezra Ausar,Utah,31,23.0710,0.575182,Jr,2003-02-14,
Valentino Pinedo,Saint Francis,28,28.1793,-0.669512,So,2004-04-07,
Saxby Sunderland,Chicago St.,29,20.7931,-5.87113,Jr,2003-10-15,
Kareem Rozier,Duquesne,31,26.5688,-1.24285,Jr,2004-11-23,
Brendan Reed,Lehigh,9,1.8182,-14.5256,Jr,2003-10-15,
Bube Momah,Lehigh,5,12.1500,-4.87513,Jr,2003-10-15,
Evans Kipruto,UC Santa Barbara,18,7.0700,-0.849518,Sr,2001-10-15,
Erik Pratt,Milwaukee,22,22.5083,0.0769297,Sr,2001-10-15,
Tavari Johnson,Akron,33,24.7057,-1.23158,Jr,2003-10-15,
Ryan Prather Jr.,Robert Morris,34,23.8314,-0.975821,So,2003-10-15,
Cavan Reilly,Delaware,31,32.7879,0.0106299,Jr,2003-10-15,
Houston Emory,Delaware,17,6.5579,-3.42509,Jr,2003-10-15,
Gabe Moss,Delaware,14,7.0375,-9.49588,Jr,2003-10-15,
Max Mackinnon,Portland,30,28.0656,0.25593,Jr,2003-10-09,
Cole Alexander,The Citadel,1,2.5400,-64.7456,Jr,2003-10-15,
Colby McAllister,The Citadel,26,16.0100,-6.98937,Jr,2003-10-15,
Madison Durr,Monmouth,33,32.2545,-2.87439,Jr,2003-10-15,
AJ Smith,Charleston,29,25.5233,-3.7856,So,2003-10-15,
Jake Shapiro,Tulane,7,1.4222,-5.86911,So,2003-10-15,
Aidan Kehoe,Navy,33,29.2618,1.43508,Jr,2003-10-15,
Jalen Forrest,Chicago St.,31,29.7258,-5.98448,Jr,2003-10-15,
D'Ante Bass,Alabama St.,35,13.5028,-1.28479,Jr,2003-10-15,
Derek Simpson,Saint Joseph's,35,29.9971,-0.0171978,So,2003-10-15,
Tanner O'Grady,Robert Morris,4,1.7500,-0.37608,Jr,2003-10-15,
Dashon Gittens,FIU,31,27.3697,0.471158,Jr,2003-10-15,
Antwone Woolfolk,Miami OH,32,21.5706,2.62516,Jr,2003-10-15,
Houston Jones,Presbyterian,7,6.3900,-9.61516,So,2003-10-15,
Quadir Pettaway,Presbyterian,30,12.0125,-4.7758,Jr,2003-10-15,
Kenny Noland,Columbia,25,31.5741,-1.92874,Jr,2002-12-12,
Zine Eddine Bedri,Columbia,22,18.7125,-3.10815,Jr,2002-10-15,
Ethan Meuser,Stonehill,29,21.3774,0.62462,Jr,2003-10-15,
Izaiyah Nelson,Arkansas St.,31,24.0194,5.00508,Jr,2003-10-01,51
Darrion Williams,Texas Tech,34,30.0353,8.32531,Jr,2003-04-23,
Denzel Aberdeen,Florida,39,19.8128,1.6855,Jr,2003-12-26,
Aleks Szymczyk,Charlotte,19,4.8650,-15.7096,So,2002-08-11,
Michael Rogan,Fairfield,22,13.6870,-5.39903,Jr,2003-10-15,
Jo'el Emanuel,Fairleigh Dickinson,30,32.8758,-2.4705,Jr,2003-10-15,
Brayden Reynolds,Fairleigh Dickinson,30,21.9697,-4.5602,Jr,2003-10-15,
Collin O'Toole,Villanova,4,0.8250,-1.24512,Sr,2002-10-15,
Tauris Watson,West Georgia,27,16.2500,-6.4435,Jr,2002-10-15,
Cooper Smith,Eastern Michigan,3,2.3000,-12.1157,Jr,1999-07-12,
Ben Capron,Holy Cross,7,1.8556,-12.9738,Jr,2003-10-15,
James Henderson Jr.,Niagara,5,3.6667,-12.739,Jr,2003-10-15,
Jayland Randall,Southern Indiana,25,29.2370,-1.64854,Jr,2003-10-15,
Amani Drummond,Incarnate Word,10,3.4214,-6.37926,Jr,2003-10-15,
Luke Murphy,Colorado St.,8,1.7500,-15.6633,So,2003-10-15,
Vladimer Salaridze,Tennessee Martin,29,26.3781,4.21759,Sr,2002-08-16,
Joey Kahn,UAB,1,1.2000,-4.38037,Jr,2002-10-15,
Neal Marquardt,Stonehill,12,3.4643,-8.7236,Sr,2002-10-15,
Nathan McGill,Stonehill,15,14.8333,-3.91683,Sr,2002-10-15,
Christopher Melis,Stonehill,20,14.0318,-1.95534,Sr,2002-10-15,
Brashon Hall,Fairleigh Dickinson,4,1.8429,-23.1496,Sr,2002-10-15,
Quincy McGriff,Alabama A&M,18,19.0889,-10.9523,So,2001-06-25,
Kenyon Giles,UNC Greensboro,27,29.5567,1.68563,Jr,2003-10-15,
Luke Northweather,Oklahoma,30,11.3400,2.66617,So,2003-10-15,
Quion Williams,Abilene Christian,29,29.5967,1.38801,Jr,2005-04-27,
Rory Stewart,Florida Gulf Coast,29,19.9633,0.203766,So,2003-05-24,
Keiveon Hunt,Jackson St.,27,24.8407,-3.48883,Jr,2003-10-15,
Jason Hart Jr.,Long Beach St.,12,13.1917,-8.37526,So,2003-10-15,
Shaumba Ngoyi,Eastern Washington,11,4.1769,-12.3242,Jr,2003-10-15,
Grant Strong,Tennessee Tech,11,9.0077,-12.2985,So,2002-05-27,
Ice Emery,Western Carolina,27,24.7100,-6.0478,Jr,2003-10-15,
Javon Bennett,Dayton,33,30.9676,3.7263,Jr,2003-10-15,
Jordan Derkack,Rutgers,31,16.9968,1.42303,Jr,2003-03-28,
Jasen Green,Creighton,36,20.3389,4.586,So,2003-10-15,
Ola Ajiboye,Tennessee Tech,30,17.1781,-0.129014,Jr,2003-10-15,
Mike Sharavjamts,Utah,33,22.3485,3.5392,Jr,2002-08-27,
Achile Spadone,Bucknell,33,31.7576,-0.352593,Jr,2003-09-24,
Amaan Sandhu,Manhattan,1,3.3000,-1.33818,Jr,2002-12-08,
Simeon Womack,Bethune Cookman,6,1.0833,2.94619,Jr,2003-11-24,
Jack Collins,Monmouth,33,36.0455,2.19377,Jr,2003-10-15,
Joe Hurlburt,Davidson,27,5.7250,-8.03787,Jr,2003-10-15,
Greg Gerhardt,Colorado,1,3.4000,-33.2294,So,2002-11-05,
Grant Newell,North Texas,34,21.6917,0.499418,Jr,2003-10-15,
Tavi Jackson,Southern Utah,17,27.5579,-1.12787,Jr,2003-12-13,
Jack Payne,Idaho,31,27.4758,2.76227,So,2003-10-15,
Spencer Legg,Louisville,9,0.8333,-8.07784,Jr,2003-10-15,
KyeRon Lindsay,Murray St.,31,15.2000,1.51791,Jr,2003-10-15,
Brandon Klatsky,Georgia,6,1.4000,-21.0689,So,2003-05-05,
Jaden Newell,Georgia,7,1.2286,-3.05638,So,2004-01-08,
Emil Skytta,Sacramento St.,22,29.1360,-6.76382,So,2003-10-07,
Evan Kilminster,Charleston,7,7.4750,-7.23288,Jr,2003-07-16,
Nate Brafford,Georgia Southern,28,15.5621,-0.256018,Jr,2003-10-15,
Edward Nnamoko,New Mexico St.,17,5.1400,-1.38155,So,2003-10-15,
Bendji Pierre,San Diego,28,18.2621,-4.6209,Sr,2002-10-15,
Daniel Rivera,Massachusetts,28,28.5724,2.25463,Jr,2002-10-15,
Jack Doumbia,Wright St.,31,23.3364,-1.40235,Sr,2002-10-15,
Isaiah Swope,Saint Louis,32,36.6455,0.241147,Sr,2003-04-22,
Jack Mielke,Southern Indiana,28,31.6033,-1.63862,Sr,2002-10-15,
Ryan Hall,Southern Indiana,10,12.7250,-0.966789,Jr,2002-10-15,
Josh Mitchell,Alcorn St.,28,10.5034,-0.779382,Sr,2002-10-15,
Cameron Huefner,Sam Houston St.,27,31.0167,-1.16329,Sr,2001-09-22,
AJ Ferguson,Murray St.,32,35.3394,0.774613,Sr,2002-10-15,
Cobie Montgomery,Southern Miss,31,22.0273,-1.6649,Sr,2001-10-15,
Mouhamadou Cissé,Green Bay,2,1.0000,-33.931,Jr,2003-10-15,
Jah Quinones,Mercer,29,15.0774,-4.54084,Jr,2003-10-15,
Keyshawn Hall,UCF,33,33.4545,2.29169,Jr,2003-04-09,
Jonathan Beagle,Richmond,30,15.5531,-1.6309,So,2003-10-15,
Romad Dean,Fordham,32,26.4818,-1.23045,Jr,2003-02-19,
Michael Wolf,Xavier,1,0.8000,-1.8538,Jr,2002-09-18,
Josiah Davis,Niagara,21,27.7864,-5.53835,Jr,2003-02-04,
Joshua Ola-Joseph,California,24,17.6417,-1.07301,Jr,2003-10-15,
Vinko Polovic,Milwaukee,2,1.7333,18.6358,So,2002-10-15,
Samuel Gibbs,Loyola MD,19,7.5800,-2.90628,Jr,2003-10-15,
Nick Krass,Tarleton St.,26,18.3345,-7.69894,So,2003-10-15,
Brian Taylor,SIU Edwardsville,31,31.1500,-0.99568,Jr,2003-10-15,
Tre Dinkins,Duquesne,31,29.1562,1.25857,Sr,2002-10-15,
Koren Johnson,Louisville,2,19.6500,-0.0601368,Jr,2003-10-15,
Brody Boyer,Samford,10,5.5167,-5.59268,Sr,2001-10-15,
Japhet Medor,Fordham,32,32.9333,0.337931,Sr,2000-10-15,
Adam Hamilton,Lamar,30,23.9625,3.44299,Sr,2001-10-15,
Achor Achor,Kansas St.,7,13.2286,2.33009,Sr,2002-01-13,
Sincere Parker,McNeese St.,32,19.7294,-1.14427,Jr,2002-10-15,
Jerome Palm,Hawaii,27,9.3759,-6.44945,Sr,2001-10-15,
Kalu Anya,Saint Louis,32,27.7706,4.39227,Jr,2003-10-15,
Harry Wessels,Saint Mary's,33,13.1647,3.05002,Jr,2002-08-06,
Silas Sunday,Hofstra,31,13.7242,1.07226,Jr,2003-03-13,
Sadiku Ibine Ayo,St. John's,31,8.0129,1.11821,Jr,2003-10-15,
Eric Mulder,Purdue Fort Wayne,22,24.0167,2.5942,Jr,2003-10-15,
Maleek Arington,Seattle,30,29.2063,0.925146,Jr,2003-10-15,
Barrington Hargress,UC Riverside,32,31.9235,2.2021,So,2003-01-28,
Zach Gonsoulin,UTSA,4,4.5167,-19.8236,So,2002-08-22,
Trey Stuart,TCU,2,0.9000,-33.6072,Jr,2003-04-14,
Lorenzo Downey,Alabama A&M,28,23.8667,-4.0421,Sr,2002-10-15,
Brock Matheny,Davidson,3,1.8750,-0.289741,Jr,2004-04-24,
Aaron Gray,Indiana St.,24,23.9600,-0.834464,Sr,2000-11-28,
Jacari White,North Dakota St.,28,30.7968,1.78554,Sr,2002-10-15,
Braxton Bayless,Western Kentucky,30,22.4594,-1.48259,Sr,2001-10-15,
David Coit,Kansas,34,15.4941,3.91508,Sr,2002-10-15,
DJ Campbell,California,27,25.8185,-1.80796,Jr,2003-10-15,
Will Johnston,Loyola Marymount,31,28.7844,0.719551,Sr,2002-10-15,
Mohamed Wague,Oklahoma,33,11.4909,10.4029,Sr,2002-10-15,
Jestin Porter,Middle Tennessee,32,33.7382,0.126129,Sr,2002-03-05,
Isiah Lightsy,Middle Tennessee,3,2.2400,-2.95166,Sr,2003-08-14,
Luca Colceag,Northern Colorado,9,10.5667,-5.27607,Fr,2003-06-22,
Camden Heide,Purdue,36,19.6194,6.18599,So,2003-07-16,
Barry Dunning Jr.,South Alabama,30,32.8438,0.829453,Jr,2003-10-15,
Kymany Houinsou,Loyola Chicago,27,21.7286,2.00293,So,2004-01-06,
Iaroslav Niagu,Jacksonville St.,33,12.4417,2.91554,So,2003-09-04,
Owen Kmety,Wake Forest,2,1.4500,-3.15682,Jr,2003-10-15,
Tre Donaldson,Michigan,37,31.1351,4.75869,Jr,2003-12-11,
Bol Dengdit,Portland,28,23.9167,-1.02461,So,2003-02-21,
Cord Stansberry,Western Carolina,27,29.7700,-3.22686,Jr,2003-10-15,
Blake Smith,Northwestern,18,3.1722,-2.93107,Jr,2003-10-15,
Jevon Porter,Loyola Marymount,31,30.9161,1.69046,Jr,2003-06-27,
David Mager,Pepperdine,24,4.7000,-14.6553,Jr,2003-10-15,
Jorge Diaz Graham,Pittsburgh,29,7.1897,5.61181,Jr,2003-06-29,
Denver Anglin,Rice,31,21.8781,-1.54215,Jr,2003-10-15,
Arturo Dean,Oklahoma St.,34,24.3912,3.62163,Jr,2001-11-06,
JJ Starling,Syracuse,26,34.5962,0.25302,Jr,2004-03-16,
Ven-Allen Lubin,North Carolina,37,19.5865,6.20877,Jr,2004-01-23,
Aidan Hadaway,Ohio,17,26.9389,2.9547,Jr,2003-10-15,
Dom Campbell,Howard,7,15.0875,-4.29952,Jr,2003-10-15,
Chris Ashby,Queens,33,28.0914,-3.60415,Sr,2002-10-15,
Josh Dix,Iowa,32,32.3062,4.27236,Jr,2004-06-29,
Dasonte Bowen,St. Bonaventure,9,31.0500,1.93241,So,2002-11-28,
Robbie Avila,Saint Louis,30,33.9839,3.6381,So,2003-09-10,
Vincent Brady II,Missouri St.,28,32.2500,0.595746,Jr,2003-10-15,
Geoff Sprouse,American,20,22.9950,-2.75945,Jr,2003-10-15,
Jefferson De La Cruz Monegro,Valparaiso,32,28.9647,-1.80304,Jr,2003-02-07,
JaVaughn Hannah,Western Michigan,29,28.4233,-0.428874,Jr,2003-10-15,
Seth Hubbard,Toledo,32,21.0333,-3.44876,Jr,2003-10-15,
Max Burton,Western Michigan,31,21.4094,-2.17232,So,2003-10-15,
Jacob Wilson,Louisiana Monroe,22,25.1667,-4.32939,Jr,2003-10-15,
Jasteven Walker,Alabama St.,35,18.8444,-0.936556,Jr,2003-10-15,
DeShawn Goodwyn,Gardner Webb,2,1.4000,-5.55938,Jr,2003-10-15,
Jermaine Ballisager Webb,Portland,27,10.3552,0.423746,Jr,2003-02-22,
Ante Brzovic,Charleston,32,32.5939,3.81528,Sr,2000-06-02,
Amani Lyles,Akron,33,18.0559,6.80997,Jr,2003-10-15,
Sam King,Purdue,6,2.1000,-8.32031,Jr,2003-09-26,
Braden Smith,Purdue,36,37.0389,10.2365,Jr,2003-07-25,38
Keaton Dukes,Purdue Fort Wayne,2,3.4500,-23.7179,Jr,2003-10-15,
Chris Morgan,Purdue Fort Wayne,23,7.0520,-10.4936,Jr,2003-10-15,
Kaleb Banks,Tulane,30,31.3906,2.6255,Jr,2003-11-17,
Thomas Tut,Southeastern Louisiana,19,10.9524,-9.30629,Jr,2003-10-15,
Neel Beniwal,San Diego,13,5.9846,-8.98766,Jr,2003-10-15,
Jeremiah Nyarko,Stony Brook,7,7.8500,-8.46617,Jr,2002-07-06,
Gus Hurlburt,Northwestern,3,0.7000,-2.51685,Jr,2003-10-15,
KC Ibekwe,Washington,12,5.6750,-7.43905,Jr,2004-07-17,
Vason Stevenson,Pittsburgh,1,2.1000,7.17834,Jr,2004-06-26,
Orlando Lovejoy,Detroit Mercy,29,35.0833,-0.971595,Jr,2003-10-15,
Andrew Younan,Weber St.,1,5.2750,-8.43324,So,2003-10-15,
Justin Mullins,Northwestern,32,22.3531,4.27992,Jr,2003-10-15,
Chase Robinson,Cleveland St.,33,24.0139,-0.404528,Sr,2001-10-15,
Andrew Alia,Drake,6,7.7857,-4.0862,So,2003-10-15,
Ja'Kobi Gillespie,Maryland,36,31.5639,9.3124,Jr,2004-03-10,42
Derrian Ford,Arkansas St.,33,20.9735,-0.494668,Jr,2003-10-15,
Kai Spears,Marshall,20,6.5545,-4.81064,So,2003-10-15,
Braden Housley,Utah St.,2,7.8000,20.5653,Jr,2003-10-15,
Barry Evans,Bryant,31,32.7848,1.24979,Jr,2003-10-15,
Jackson Fields,Troy,32,21.8882,1.48428,Jr,2003-10-15,
Percy Daniels,Tulane,32,10.5529,2.97173,Jr,2002-12-17,
Jack Campion,Southern Indiana,27,23.0036,-4.88424,Jr,2003-10-15,
Andre Young,Rider,25,11.4800,-7.56556,Jr,2003-10-15,
Jaden Henley,UNLV,28,29.3857,2.94636,Jr,2004-04-24,
Pharrel Payne,Texas A&M,34,20.1118,6.81766,Jr,2004-08-22,
Jonathan Dunn,Coppin St.,25,23.9346,-6.26135,So,2003-10-15,
Keyontae Lewis,Wagner,25,21.4379,-3.56299,Jr,2003-10-15,
Darren Buchanan Jr.,George Washington,31,28.4344,0.133335,So,2003-10-15,
Daniel Rouzan,Bethune Cookman,33,27.0515,-4.60279,Jr,2003-10-15,
Charles Stone,Kennesaw St.,1,4.0750,-4.34095,Jr,2003-10-15,
Eric Holland,Kennesaw St.,1,4.2333,-4.33355,Jr,2003-10-15,
Delrecco Gillespie,Kent St.,34,22.6800,3.30541,Jr,2003-06-01,
Rokas Jocius,UCF,25,8.5760,-2.99089,Jr,2003-07-04,
Roddy Gayle Jr.,Michigan,36,26.2722,3.33594,Jr,2003-07-23,
Christian Davis,Bradley,36,31.0081,6.17787,Sr,2001-05-16,
Jonnivius Smith,UTSA,28,24.0667,-0.166859,Sr,2001-10-15,
Charlie Williams,Lipscomb,33,16.3086,0.127867,Jr,2003-10-15,
Miles Hicks,William & Mary,15,6.8000,-3.55409,Jr,2003-10-15,
Nick Evans,William & Mary,2,4.8250,-6.03312,Jr,2003-10-15,
Jack Karasinski,Bellarmine,23,21.9375,-4.33491,So,2003-10-15,
Julian Margrave,South Alabama,1,4.9000,-20.4705,Jr,2003-10-15,
Jackson Mayo,Army,8,2.8600,12.2573,Jr,2003-10-15,
Jorn Everson,Army,30,9.2594,-5.67991,Jr,2003-10-15,
Ethan Roberts,Penn,25,32.8960,-0.799072,Jr,2003-10-15,
Chanse Perkins,Army,5,2.3667,-22.9002,Jr,2003-10-15,
Connor Turnbull,Evansville,31,21.9250,4.14701,So,2003-10-15,
"Brian Moore, Jr.",Norfolk St.,32,31.2457,1.74666,Jr,2002-10-15,
Blaise Keita,Western Kentucky,23,13.2167,-3.98729,Sr,1999-06-29,
Josiah Harris,Akron,6,23.5500,3.052,Jr,2003-02-04,
Jacob Conner,Dayton,27,12.0714,-1.09487,Jr,2004-03-31,
Toby Nnadozie,Coppin St.,29,32.1767,-1.09859,Jr,2003-10-15,
Ante Beljan,Little Rock,31,28.0727,-3.20937,Jr,2003-11-06,
Antonio Lisenbee,Alcorn St.,18,6.3842,-6.54663,Jr,2003-10-15,
CJ Delancy,Chicago St.,31,11.1871,-9.40095,Jr,2003-10-15,
Tyson Commander,Loyola MD,30,27.2355,-1.95929,Jr,2003-10-15,
Keelan Steele,Maine,32,14.5000,-3.55834,Jr,2003-10-15,
Landon Moore,Butler,35,16.2114,-0.940469,Jr,2003-10-15,
Miles Webb,Saint Francis,26,10.7483,-3.47054,Jr,2003-10-15,
Trey Miller,UT Rio Grande Valley,27,28.9419,-3.96167,Jr,2003-10-15,
Magnus Entenmann,Kent St.,21,5.0000,-1.86206,So,2003-10-15,
Ryan Pettit,Lafayette,31,20.0031,-1.44368,Jr,2003-10-15,
Jordan Snell,N.C. State,4,1.0500,-18.4308,Jr,2003-10-15,
Seth Trimble,North Carolina,34,28.6412,5.71758,Jr,2004-08-09,
LJ Thomas,Austin Peay,29,31.1710,-2.72142,So,2003-10-15,
Riccardo Ghedini,Davidson,9,6.4300,-8.66289,Jr,2002-03-29,
Markus Harding,Indiana St.,27,18.0690,-1.70706,Jr,2002-10-15,
Kerwin Prince,New Orleans,2,8.8500,-6.75394,Sr,2001-10-15,
Tajavis Miller,North Dakota St.,28,21.2300,0.346425,Jr,2003-10-15,
Quadir Copeland,McNeese St.,33,21.9229,0.981375,Jr,2003-09-04,
Justin Taylor,James Madison,25,10.2333,-4.92592,Jr,2003-10-15,
Peter Carey,Siena,23,16.2565,4.18597,So,2003-10-15,
Ugnius Jarusevicius,Central Michigan,22,26.6615,-0.785988,Jr,2003-06-04,
Jacari Lane,North Alabama,33,33.7971,1.18223,Jr,2003-10-15,
Dionte Johnson,North Carolina Central,29,19.2500,-4.04529,Jr,2003-10-15,
Braxton Jones,Southern Indiana,23,15.6080,-8.55094,Jr,2003-10-15,
Muodubem Muoneke,Green Bay,8,3.6625,-14.1026,Jr,2003-10-15,
Sage Tolentino,UNC Asheville,10,8.5571,-6.51452,So,2003-10-15,
Josh Reed,Cincinnati,33,17.6152,3.97565,Jr,2003-10-15,
Chas Kelley III,Boston College,31,18.7968,-3.51691,Jr,2003-10-15,
Prince Aligbe,Seton Hall,32,23.3562,-3.30845,Jr,2003-10-15,
Demetrius Davis,UNC Greensboro,29,19.9500,-0.486635,Sr,2001-10-15,
Donald Hand Jr.,Boston College,31,33.2226,0.799838,So,2003-10-15,
Dan Skillings Jr.,Cincinnati,29,22.7759,5.18667,Jr,2003-01-27,
Davion Sykes,Southern Illinois,29,17.2613,-0.759849,So,2003-10-15,
Jordan Mason,Illinois Chicago,28,30.0400,-1.92494,Jr,2003-10-15,
Koat Keat Tong,UC Santa Barbara,21,9.3304,-0.0993349,Jr,2003-10-15,
Jaelyn Lee,Texas A&M,6,4.8500,0.976426,So,2003-10-15,
Faizon Fields,Milwaukee,20,18.3810,1.67881,Sr,2002-10-15,
Matija Belic,Wyoming,22,23.6773,-0.576113,So,2003-05-16,
B.B. Knight,Lamar,5,13.9833,-7.83977,Jr,2003-10-15,
Willie Lightfoot,Alcorn St.,1,12.0000,-23.9073,Jr,2003-10-15,
Joe Spinelli,Chicago St.,20,4.1650,-7.29536,Jr,2003-10-15,
Efrem Johnson,UAB,36,26.8459,-0.7586,Jr,2003-06-25,
Elijah Brooks,Houston Christian,28,27.8600,-4.53525,Jr,2003-10-15,
Amarri Monroe,Quinnipiac,31,32.9281,1.23663,Jr,2003-03-04,
Anthony Arrington,Wofford,27,15.6241,-3.27286,Jr,2003-10-15,
Coleton Benson,Texas St.,21,19.9227,-0.662266,Jr,2003-10-15,
Rex Sunderland,New Hampshire,8,24.8000,-7.09551,Jr,2003-10-15,
Ridvan Tutic,Maine,23,9.6000,-5.57301,Jr,2003-10-15,
Braden Appelhans,New Mexico,30,9.8742,2.626,So,2003-10-15,
Donovan Dent,New Mexico,34,35.3000,4.39408,Jr,2003-12-02,
Zae Blake,Wagner,24,21.8040,-1.82039,Jr,2002-10-15,
Mark Mitchell,Missouri,33,27.7788,5.77145,Jr,2003-09-01,
Derrick Harris Jr.,Charleston Southern,3,11.6500,-11.9694,Jr,2003-10-15,
Luke Keller,Georgia Southern,2,1.3500,-32.7671,Sr,2002-10-15,
Charlie Miller,Northern Iowa,16,2.7235,1.21542,So,2003-10-15,
Trey Campbell,Northern Iowa,32,29.5182,4.15814,Jr,2003-10-15,
Jalen Jackson,Purdue Fort Wayne,29,31.3452,1.0592,Jr,2003-10-15,
Steven Clay,Morehead St.,19,20.4455,-2.5221,Jr,2003-10-15,
Noah Ross,UNC Wilmington,29,23.9839,0.371008,Jr,2003-10-15,
Nolan Hodge,UNC Wilmington,32,23.4588,0.810602,Jr,2003-10-15,
Richie Saunders,BYU,35,29.4486,9.75617,Jr,2001-09-19,32
Zachary Davis,South Carolina,32,26.4438,1.75458,Jr,2003-10-15,
Daniel Hankins-Sanford,Massachusetts,27,25.5074,-0.868855,Jr,2003-10-15,
George Perkins,Rice,5,1.0000,18.2608,So,2003-10-15,
Jack McFadden,Rider,4,2.7500,-14.0213,Jr,2003-10-15,
Trey Utter,SMU,5,0.8400,-14.79,Jr,2003-10-15,
Stephaun Walker,Old Dominion,19,28.2476,-4.06651,Jr,2003-10-15,
TJ Wainwright,Long Beach St.,27,30.0448,-1.42586,Jr,2003-10-15,
Jayden Brewer,FIU,29,26.7839,0.11229,Jr,2003-10-15,
Bryce Baker,Winthrop,31,19.7353,1.19955,Jr,2003-10-15,
Brian Nussbaum,Fordham,5,1.3333,0.729399,Sr,2002-10-15,
Mason Nicholson,Jacksonville St.,33,25.8833,4.83557,Jr,2002-10-15,
Isaiah Gaines,Radford,31,20.6909,1.85893,Sr,2002-10-15,
Allen David Mukeba,Oakland,33,30.9364,3.72552,Sr,2001-09-17,
Quandre Bullock,South Dakota,28,22.8233,1.96935,Sr,2001-10-15,
Kelechi Okworogwo,North Carolina Central,24,8.9429,-7.73382,Jr,2003-10-15,
Kobe MaGee,Drexel,32,33.6727,1.48703,Jr,2003-10-15,
Preston Clark,Texas,4,3.4500,-4.08838,So,2003-10-15,
Dillon Mitchell,Cincinnati,35,28.0857,7.77685,Jr,2003-10-03,40
Isaac Gard,Wisconsin,13,0.9846,7.64405,Jr,2003-10-15,
Ross Candelino,Lipscomb,19,5.2286,-2.22218,Jr,2003-10-15,
LeJuan Watts,Washington St.,34,31.5706,3.27096,So,2003-10-10,
Tyrese Elliott,Alcorn St.,2,2.9000,-9.57975,Jr,2003-10-15,
Lamar Washington,Pacific,31,34.2909,-0.644871,Jr,2003-08-06,
AJ McKee,Milwaukee,30,29.8188,-0.975858,Sr,2002-10-15,
K.T. Raimey,UT Rio Grande Valley,24,19.6571,-4.40049,Sr,2001-10-15,
Frank Mitchell,Minnesota,29,15.5586,4.48463,Jr,2002-10-15,
Reis Jones,Charleston Southern,30,20.8375,-2.53288,Jr,2003-10-15,
Alex Horiuk,Southern Indiana,25,6.2000,-11.3557,Jr,2003-10-15,
Adante’ Holiman,Georgia Southern,24,30.0520,-0.317073,Jr,2003-10-15,
Isaiah Barganier,UT Rio Grande Valley,1,7.5000,-2.861,Jr,2003-10-15,
Brandon Walker,Montana St.,28,21.2000,-0.133564,Jr,2004-07-17,
Wilguens Jr. Exacte,Bowling Green,30,17.9375,-3.12564,So,2003-07-07,
Ryan Zan,La Salle,20,9.6286,-1.6514,So,2003-10-15,
Rodolfo Rufino Bolis,Eastern Illinois,28,18.9677,-2.28616,Sr,2003-05-12,
Nick Ellington,Murray St.,32,23.5333,0.779904,Sr,2001-10-15,
Marvin McGhee III,Cal St. Bakersfield,31,29.8303,-3.53209,Sr,2002-10-15,
Apostolos Roumoglou,Richmond,23,26.6040,-0.276002,Jr,2003-05-15,
Louie Jordan,UMBC,28,22.2613,-3.64057,Jr,2003-10-15,
Joseph Pinion,Arkansas St.,35,25.7417,6.37424,Jr,2003-10-15,
Alex Karaban,Connecticut,33,35.8848,6.67421,Jr,2002-11-11,29
Zach Reinhart,Arkansas Pine Bluff,27,21.4621,-7.23576,Jr,2003-10-15,
Cade Bennett,Saint Mary's,22,3.1826,-7.95007,So,2003-10-15,
BJ Omot,California,4,26.4250,-5.47479,So,2003-10-28,
Gregg Glenn III,Tulane,32,26.7235,-1.03752,Jr,2003-04-16,
Rashad King,Northeastern,32,36.5500,1.39212,Jr,2003-03-31,
Brendan Hausen,Kansas St.,33,27.6030,2.97988,Jr,2004-07-06,
Dug McDaniel,Kansas St.,32,32.2469,0.480348,Jr,2003-01-08,
Harold Woods,Northeastern,32,32.2594,-1.83674,Jr,2003-10-15,
Kalib Mathews,Queens,31,24.5212,-0.839937,Sr,2001-10-12,
Justin Thomas,Florida St.,32,22.1156,2.05288,Sr,2002-10-15,
Troy Hupstead,UT Arlington,22,8.5833,-2.11736,Sr,2002-10-15,
Jackson Francois,Arizona,2,0.9500,-1.29611,So,2003-10-15,
Aidan Shaw,Missouri,28,9.2107,6.06845,Jr,2003-10-15,
Andrew Ball,Monmouth,33,10.7970,-4.75919,Jr,2003-10-15,
TJ Johnson,VMI,30,32.5758,-1.78818,So,2003-10-15,
Daniel Egbuniwe,Tennessee Tech,28,28.0500,-2.66659,Jr,2003-10-15,
Rylan Houck,Lipscomb,20,5.2545,-5.90274,So,2003-10-15,
Paxton Davidson,The Citadel,26,25.0400,-8.13214,So,2003-10-15,
Dionjahe Thomas,Southern,29,15.6125,-2.96844,So,2003-10-15,
Adrian Samuels,American,13,6.9800,-10.0864,Jr,2003-10-15,
Malik Dia,Mississippi,36,20.9222,4.56168,Jr,2004-02-04,
Zach Keller,Utah,28,9.8500,0.395625,Jr,2003-10-15,
Miles Keeffe,Vanderbilt,8,2.0125,7.15663,Jr,2003-10-15,
Lee Dort,California,33,14.3091,2.01697,Jr,2003-10-15,
Tyler Linhardt,Idaho,27,17.2750,-6.06542,Jr,2003-10-15,
Xaivian Lee,Princeton,28,32.0600,4.99882,Jr,2004-03-12,
